Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34907,WBA23GG00S7S70125,Red,13,https://cdn.max.auto/102612/WBA23GG00S7S70125/67edc8ca4e1cb1c96a194c92.jpg,S,,"",196,0,0,0,6,6,Retail,Gray,"$45,425.00","","$45,425.00","$43,210.00","$2,215.00","","",104%,99%,20,30,26,73,88,180,"$1,568.00 above",$0.00 below,On,2.9%,"33,492",960,"","","","","",""
2025,BMW,7 Series,760i xDrive,AWD,Sedan,No,"",B34910,WBA33EJ0XSCU85925,Red,9,https://cdn.max.auto/102612/WBA33EJ0XSCU85925/67ed8cf1ed6d2b8ae03f55ed.jpg,S,,"",196,0,0,0,11,11,Retail,Blue,"$152,925.00","","$152,925.00","$143,180.00","$9,745.00","","",119%,111%,11,11,17,17,46,47,"$24,011.00 above",$0.00 below,On,6.2%,"71,146","4,402","","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34978,WBA23GG01S7S91193,Red,13,https://cdn.max.auto/102612/WBA23GG01S7S91193/680f9ba04225afd438b88ffe.jpg,S,,"",172,0,0,0,17,7,Retail,Black,"$44,975.00","","$44,975.00","$42,790.00","$2,185.00","","",103%,98%,18,30,24,73,88,180,"$1,118.00 above",$0.00 below,On,1.2%,"33,323",406,"","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34968,WBA23GG02S7S92790,Red,13,https://cdn.max.auto/102612/WBA23GG02S7S92790/680fd3dacb5146b0c86ef147.jpg,S,,"",172,0,0,0,0,7,Retail,Gray,"$45,975.00","","$45,975.00","$43,720.00","$2,255.00","","",105%,100%,22,30,28,73,88,180,"$2,118.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34969,WBA23GG09S7S96772,Red,12,https://cdn.max.auto/102612/WBA23GG09S7S96772/68114523cb5146b0c8b265ec.jpg,S,,"",172,0,0,0,2,11,Retail,Blue,"$45,225.00","","$45,225.00","$43,025.00","$2,200.00","","",103%,98%,19,30,25,73,88,180,"$1,368.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,4 Series,430i xDrive,AWD,Convertible,No,"",B34994,WBA53DB00TCU98704,Red,13,https://cdn.max.auto/102612/WBA53DB00TCU98704/681cc3a19dc0cace17709eb5.jpg,S,,"",164,1,0.1,0,13,6,Retail,Blue,"$72,525.00","","$72,525.00","$68,410.00","$4,115.00","","",104%,98%,12,15,21,32,56,64,"$2,597.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,7 Series,740i xDrive,AWD,Sedan,No,"",B35016,WBA33EH0XSCV16340,Red,13,https://cdn.max.auto/102612/WBA33EH0XSCV16340/681ca77d9dc0cace171dee43.jpg,S,,"",159,0,0,0,7,12,Retail,White,"$106,470.00","","$106,470.00","$99,965.00","$6,505.00","","",105%,98%,4,5,4,17,46,38,"$4,795.00 above",$0.00 below,On,0.8%,"41,397",336,"","","","","",""
2026,BMW,iX,xDrive45,AWD,SUV,No,"",B35034,WB543CF03TCU94435,Green,13,https://cdn.max.auto/102612/WB543CF03TCU94435/681fbe919dc0cace17b74dae.jpg,S,,"",159,0,0,0,14,11,Retail,Gray,"$87,325.00","","$87,325.00","$82,180.00","$5,145.00","","",102%,96%,10,14,10,23,26,21,"$1,454.00 above",$0.00 below,On,4.5%,"4,884",218,"","","","","",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35040,WB553CF08TCU97335,Green,11,https://cdn.max.auto/102612/WB553CF08TCU97335/682265069dc0cace17abf483.jpg,S,,"",159,1,0.1,0,12,15,Retail,Black,"$97,225.00","","$97,225.00","$91,385.00","$5,840.00","","",97%,91%,4,10,6,12,31,41,"$3,311.00 below",$0.00 below,On,4.2%,"1,203",51,"","","","","",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35038,WB553CF07TCU99027,Green,13,https://cdn.max.auto/102612/WB553CF07TCU99027/681fbe929dc0cace17b75426.jpg,S,,"",159,0,0,0,8,11,Retail,White,"$101,875.00","","$101,875.00","$96,242.18","$5,632.82","","",101%,96%,7,10,9,12,31,41,"$1,339.00 above",$0.00 below,On,5.2%,"4,184",219,"","","","","",""
