Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: J.D. Power,Water,Proof point: J.D. Power,Proof point: KBB
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34907,WBA23GG00S7S70125,Red,13,https://cdn.max.auto/102612/WBA23GG00S7S70125/67edc8ca4e1cb1c96a194c92.jpg,S,,"",198,0,0,0,6,6,Retail,Gray,"$45,425.00","","$45,425.00","$43,210.00","$2,215.00","","",104%,99%,20,30,26,73,89,180,"$1,568.00 above",$0.00 below,On,2.9%,"33,599",968,"","","","","",""
2025,BMW,7 Series,760i xDrive,AWD,Sedan,No,"",B34910,WBA33EJ0XSCU85925,Red,9,https://cdn.max.auto/102612/WBA33EJ0XSCU85925/67ed8cf1ed6d2b8ae03f55ed.jpg,S,,"",198,0,0,0,11,11,Retail,Blue,"$152,925.00","","$152,925.00","$143,180.00","$9,745.00","","",119%,111%,11,11,17,17,46,47,"$24,011.00 above",$0.00 below,On,6.2%,"71,495","4,453","","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34978,WBA23GG01S7S91193,Red,13,https://cdn.max.auto/102612/WBA23GG01S7S91193/680f9ba04225afd438b88ffe.jpg,S,,"",174,0,0,0,17,7,Retail,Black,"$44,975.00","","$44,975.00","$42,790.00","$2,185.00","","",103%,98%,18,30,24,73,89,180,"$1,118.00 above",$0.00 below,On,1.2%,"33,441",406,"","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34968,WBA23GG02S7S92790,Red,13,https://cdn.max.auto/102612/WBA23GG02S7S92790/680fd3dacb5146b0c86ef147.jpg,S,,"",174,0,0,0,0,7,Retail,Gray,"$45,975.00","","$45,975.00","$43,720.00","$2,255.00","","",105%,100%,22,30,28,73,89,180,"$2,118.00 above",$0.00 below,On,1.1%,"3,714",41,"","","","","",""
2025,BMW,2 Series,228 xDrive,AWD,Sedan,No,"",B34969,WBA23GG09S7S96772,Red,12,https://cdn.max.auto/102612/WBA23GG09S7S96772/68114523cb5146b0c8b265ec.jpg,S,,"",174,0,0,0,2,11,Retail,Blue,"$45,225.00","","$45,225.00","$43,025.00","$2,200.00","","",103%,98%,19,30,25,73,89,180,"$1,368.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,4 Series,430i xDrive,AWD,Convertible,No,"",B34994,WBA53DB00TCU98704,Red,13,https://cdn.max.auto/102612/WBA53DB00TCU98704/681cc3a19dc0cace17709eb5.jpg,S,,"",166,1,0.1,0,13,6,Retail,Blue,"$72,525.00","","$72,525.00","$68,410.00","$4,115.00","","",104%,98%,14,17,25,38,71,77,"$2,675.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,7 Series,740i xDrive,AWD,Sedan,No,"",B35016,WBA33EH0XSCV16340,Red,13,https://cdn.max.auto/102612/WBA33EH0XSCV16340/681ca77d9dc0cace171dee43.jpg,S,,"",161,0,0,0,7,12,Retail,White,"$106,470.00","","$106,470.00","$99,965.00","$6,505.00","","",105%,98%,4,5,4,17,46,38,"$4,795.00 above",$0.00 below,On,0.8%,"41,507",336,"","","","","",""
2026,BMW,iX,xDrive45,AWD,SUV,No,"",B35034,WB543CF03TCU94435,Green,13,https://cdn.max.auto/102612/WB543CF03TCU94435/681fbe919dc0cace17b74dae.jpg,S,,"",161,0,0,0,15,11,Retail,Gray,"$87,325.00","","$87,325.00","$82,180.00","$5,145.00","","",102%,96%,12,16,12,26,29,24,"$1,794.00 above",$0.00 below,On,4.5%,"4,957",221,"","","","","",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35040,WB553CF08TCU97335,Green,11,https://cdn.max.auto/102612/WB553CF08TCU97335/682265069dc0cace17abf483.jpg,S,,"",161,1,0.1,0,12,15,Retail,Black,"$97,225.00","","$97,225.00","$91,385.00","$5,840.00","","",97%,91%,4,11,6,13,34,45,"$3,387.00 below",$0.00 below,On,4.2%,"2,426",103,"","","","","",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35038,WB553CF07TCU99027,Green,13,https://cdn.max.auto/102612/WB553CF07TCU99027/681fbe929dc0cace17b75426.jpg,S,,"",161,1,0.1,0,9,11,Retail,White,"$101,875.00","","$101,875.00","$96,242.18","$5,632.82","","",101%,96%,8,11,10,13,34,45,"$1,263.00 above",$0.00 below,On,5.2%,"4,266",221,"","","","","",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35107,WB553CF02TCV24724,Green,12,https://cdn.max.auto/102612/WB553CF02TCV24724/683f18ab9e20f67f95c768d4.jpg,S,,"",138,1,0.1,0,7,10,Retail,Black,"$94,545.00","","$94,545.00","$88,880.00","$5,665.00","","",94%,89%,1,10,16,26,29,47,"$5,676.00 below",$0.00 below,On,9.3%,334,31,"","","","","",""
2025,BMW,2 Series,230i xDrive,AWD,Coupe,No,"",B35162,3MW33CM02S8F59314,Green,12,https://cdn.max.auto/102612/3MW33CM02S8F59314/6848bca05ee5088eb9e00222.jpg,S,,"",129,0,0,0,4,13,Retail,White,"$47,965.00","","$47,965.00","$45,560.00","$2,405.00","","",100%,95%,7,16,39,73,89,76,$167.00 above,$0.00 below,On,1.3%,"12,810",168,"","","","","",""
2026,BMW,X7,xDrive40i,AWD,SUV,No,"",B35257,5UX23EM01T9094184,Green,12,https://cdn.max.auto/102612/5UX23EM01T9094184/6866b75f12b3a6e2b7aa1c08.jpg,S,,"",111,2,0.3,0,6,25,Retail,Green,"$96,880.00","","$96,880.00","$91,050.00","$5,830.00","","",100%,94%,46,81,52,112,56,91,$375.00 above,$0.00 below,On,5.7%,"2,915",166,"","","","","",""
2020,Mercedes-Benz,E-Class,E 350,AWD,Sedan,No,"",B34582A,W1KZF8EB8LA819986,Yellow,19,https://cdn.max.auto/102612/W1KZF8EB8LA819986/686ebffc12b3a6e2b7509a90.jpg,S,Oil Change,"",106,0,0,0,7,"80,853",Wholesale,White,$0.00,2025-09-25T07:16:00.000Z,"","$23,633.90","","$19,025.00","$23,600.00","","",0,11,0,231,35,47,"","",On,0.0%,0,0,"$18,450.00","-$5,183.90","$24,575.00",$941.10,"",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35278,5UX53GP05S9093641,Green,12,https://cdn.max.auto/102612/5UX53GP05S9093641/686d5c37d5344e01a0ea8004.jpg,S,,"",108,1,0.1,0,10,6,Retail,Gray,"$53,685.00","","$53,685.00","$51,030.70","$2,654.30","","",96%,92%,19,82,27,113,21,29,"$2,035.00 below",$0.00 below,On,3.5%,"2,779",98,"","","","","",""
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35317,WBX73EF01S5376824,Green,13,https://cdn.max.auto/102612/WBX73EF01S5376824/686d4b5812b3a6e2b7e4117d.jpg,S,,"",105,0,0,0,3,6,Retail,Gray,"$47,895.00","","$47,895.00","$45,495.00","$2,400.00","","",104%,99%,51,77,71,104,34,45,"$1,718.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,M60i,AWD,SUV,No,"",B35295,5UX33EU03T9096524,Green,9,https://cdn.max.auto/102612/5UX33EU03T9096524/6871192412b3a6e2b7263121.jpg,S,,"",106,3,0.4,0,15,12,Retail,Black,"$111,170.00","","$111,170.00","$104,345.00","$6,825.00","","",109%,102%,23,23,346,346,53,38,"$9,291.00 above",$0.00 below,On,10.4%,"14,876","1,542","","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35308,5UX53GP0XS9099192,Green,9,https://cdn.max.auto/102612/5UX53GP0XS9099192/68810ad0f5f7c7d4d598f2a3.jpg,S,,"",103,0,0,0,5,7,Retail,Blue,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,82,48,113,21,29,$285.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35336,5UX53GP09S9108982,Green,9,https://cdn.max.auto/102612/5UX53GP09S9108982/68810ad1f5f7c7d4d598f8de.jpg,S,,"",93,1,0.1,0,5,6,Retail,Gray,"$54,905.00","","$54,905.00","$52,015.00","$2,890.00","","",99%,93%,30,82,41,113,21,29,$815.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35348,5UX53GP0XS9112538,Green,9,https://cdn.max.auto/102612/5UX53GP0XS9112538/68810ad2f5f7c7d4d599030b.jpg,S,,"",94,0,0,0,13,5,Retail,Gray,"$54,305.00","","$54,305.00","$51,477.00","$2,828.00","","",97%,92%,22,82,31,113,21,29,"$1,415.00 below",$0.00 below,On,6.1%,342,21,"","","","","",""
